job,Q,k,alpha,mu,v,odb_path
1020_2a_8_rd_2000_cal_0_v_250_f_0100,0.2,0,4,0.1,250,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_8_rd_2000_cal_0_v_250_f_0100.odb
1020_2a_8_rd_2000_cal_75_v_250_f_0100,0.2,0.75,4,0.1,250,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_8_rd_2000_cal_75_v_250_f_0100.odb
1020_2a_8_rd_250_cal_75_v_20_f_0100,0.025,0.75,4,0.1,20,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_250_cal_75_v_20_f_0100.odb
1020_2a_8_rd_500_cal_100_v_20_f_025,0.05,1,4,0.025,20,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_500_cal_100_v_20_f_025.odb
aisi_1020_2a_40_rd_1000_cal_100_v_40_fric_050,0.1,1,20,0.05,40,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_40_rd_1000_cal_100_v_40_fric_050.odb
aisi_1020_2a_40_rd_1500_cal_30_v_40_fric_0100,0.15,0.3,20,0.1,40,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_40_rd_1500_cal_30_v_40_fric_0100.odb
aisi_1020_2a_40_rd_1500_cal_75_v_40_fric_0100,0.15,0.75,20,0.1,40,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_40_rd_1500_cal_75_v_40_fric_0100.odb
aisi_1020_2a_40_rd_250_cal_100_v_40_fric_025,0.025,1,20,0.025,40,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_40_rd_250_cal_100_v_40_fric_025.odb
aisi_1020_2a_40_rd_500_cal_75_v_40_fric_025,0.05,0.75,20,0.025,40,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_40_rd_500_cal_75_v_40_fric_025.odb
aisi_1020_2a_40_red_150_cal_75_vel_40_fric_0100,0.015,0.75,20,0.1,40,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_40_red_150_cal_75_vel_40_fric_0100.odb
aisi_1020_2a_40_red_250_cal_0_vel_40_fric_0100,0.025,0,20,0.1,40,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_40_red_250_cal_0_vel_40_fric_0100.odb
